group,models,policy,accuracy_mean,accuracy_std,avg_cost_mean,utility_mean,regret_mean,route_acc_mean
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",oracle,0.9456,0.02961080883731478,0.00017918535679999997,0.9456,0.0,1.0
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",random_forest_router,0.9024000000000001,0.041337634184844214,0.000172055216,0.9024000000000001,0.0432,0.8576
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",extra_trees_router,0.9008,0.03777830064997634,0.00016470623679999997,0.9008,0.0448,0.7968
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",logistic_router,0.8896000000000001,0.03550774563387546,0.00016970922559999998,0.8896000000000001,0.05600000000000001,0.8208
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",always_deepseek_v3,0.8880000000000001,0.023323807579381222,6.9885504e-05,0.8880000000000001,0.0576,0.07039999999999999
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",tfidf_logistic_router,0.8880000000000001,0.0362215405525497,0.0001764867296,0.8880000000000001,0.0576,0.8688
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",decision_tree_router,0.8880000000000001,0.04270831300812529,0.0001649165888,0.8880000000000001,0.057600000000000005,0.7807999999999999
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",linear_svm_router,0.8832000000000001,0.03735237609577204,0.0001751706304,0.8832000000000001,0.0624,0.8416
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",tfidf_linear_svm_router,0.8832000000000001,0.042558195450465276,0.0001860494688,0.8832000000000001,0.0624,0.9184000000000001
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",knn_router,0.8800000000000001,0.04233202097703349,0.0001884904992,0.8800000000000001,0.06559999999999999,0.9343999999999999
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",always_gemini_flash,0.8752000000000001,0.044398198161637155,0.00018892112,0.8752000000000001,0.07039999999999999,0.9296
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",random,0.8752000000000001,0.03514541221838211,0.0001300621952,0.8752000000000001,0.07039999999999999,0.4896
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",oracle,0.9568,0.0200798406368178,0.00017387280160000002,0.9568,0.0,1.0
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",extra_trees_router,0.9152000000000001,0.03327461494893667,0.0001537891696,0.9152000000000001,0.041600000000000005,0.7727999999999999
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",random_forest_router,0.9119999999999999,0.03622154055254964,0.00016562364959999998,0.9119999999999999,0.0448,0.8464
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",decision_tree_router,0.8944000000000001,0.02554995107627413,0.00015365193759999998,0.8944000000000001,0.0624,0.7487999999999999
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",tfidf_logistic_router,0.8944000000000001,0.03639780213144748,0.00016887832159999996,0.8944000000000001,0.0624,0.8352
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",always_llama_70b,0.8928,0.015594870951694362,5.0567603200000005e-05,0.8928,0.064,0.08159999999999999
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",logistic_router,0.8896000000000001,0.0397592756473254,0.0001593321696,0.8896000000000001,0.06720000000000001,0.7696
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",linear_svm_router,0.8848,0.03422279941793193,0.00016789936159999997,0.8848,0.072,0.8016
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",tfidf_linear_svm_router,0.8816,0.04432606456702425,0.0001830110736,0.8816,0.0752,0.8896000000000001
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",knn_router,0.8784000000000001,0.047125364720074024,0.00018802096,0.8784000000000001,0.0784,0.9199999999999999
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",always_gemini_flash,0.8752000000000001,0.044398198161637155,0.00018892112,0.8752000000000001,0.08159999999999999,0.9184000000000001
2model_gemini_flash_llama_70b,"gemini_flash,llama_70b",random,0.8688,0.021614809737770097,0.00012021308000000001,0.8688,0.088,0.4784
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",oracle,0.96,0.019595917942265412,5.13263248e-05,0.96,0.0,1.0
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",logistic_router,0.9103999999999999,0.020707486568871614,5.2562656e-05,0.9103999999999999,0.0496,0.7984
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",tfidf_linear_svm_router,0.9072000000000001,0.01752712184016533,5.059168640000001e-05,0.9072000000000001,0.0528,0.9184000000000001
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",tfidf_logistic_router,0.9072000000000001,0.023047776465420715,5.185130879999999e-05,0.9072000000000001,0.0528,0.8480000000000001
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",extra_trees_router,0.9056000000000001,0.018242806801586228,5.17300096e-05,0.9056000000000001,0.054400000000000004,0.8160000000000001
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",linear_svm_router,0.9040000000000001,0.020396078054371165,5.24560272e-05,0.9040000000000001,0.05600000000000001,0.8032
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",random,0.8992000000000001,0.029175332046096777,6.0416718399999996e-05,0.8992000000000001,0.0608,0.5056
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",always_llama_70b,0.8928,0.015594870951694362,5.0567603200000005e-05,0.8928,0.06720000000000001,0.9328
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",knn_router,0.8928,0.015594870951694362,5.0567603200000005e-05,0.8928,0.06720000000000001,0.9328
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",always_deepseek_v3,0.8880000000000001,0.023323807579381222,6.9885504e-05,0.8880000000000001,0.072,0.06720000000000001
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",random_forest_router,0.8864000000000001,0.013145341380123982,5.1158361600000004e-05,0.8864000000000001,0.0736,0.8368
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",decision_tree_router,0.8848,0.020861447696648494,5.502450080000001e-05,0.8848,0.0752,0.7152000000000001
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",oracle,0.9296,0.028509647489928715,2.30798688e-05,0.9296,0.0,1.0
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",always_deepseek_v3,0.8880000000000001,0.023323807579381222,6.9885504e-05,0.8880000000000001,0.041600000000000005,0.2112
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",random,0.808,0.031999999999999966,3.90748352e-05,0.808,0.1216,0.4992
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",decision_tree_router,0.8,0.01876166303929368,2.98504512e-05,0.8,0.1296,0.6912
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",logistic_router,0.7968,0.012132600710482451,2.5748761600000003e-05,0.7968,0.1328,0.7392
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",random_forest_router,0.7936,0.010430723848324238,2.6688416e-05,0.7936,0.13599999999999998,0.7424
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",tfidf_logistic_router,0.792,0.015999999999999973,2.2828617600000003e-05,0.792,0.1376,0.7727999999999999
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",extra_trees_router,0.7888,0.010733126291998988,2.6070393600000004e-05,0.7888,0.14079999999999998,0.7392000000000001
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",linear_svm_router,0.784,0.020396078054371134,2.31597344e-05,0.784,0.1456,0.7407999999999999
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",tfidf_linear_svm_router,0.7727999999999999,0.021614809737770097,1.81145408e-05,0.7727999999999999,0.1568,0.7936
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",knn_router,0.7584,0.015388307249337098,1.39074528e-05,0.7584,0.1712,0.8192
2model_mistral_nemo_deepseek_v3,"mistral_nemo,deepseek_v3",always_mistral_nemo,0.7183999999999999,0.01734358671094306,8.646304e-06,0.7183999999999999,0.2112,0.7888
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",oracle,0.9136,0.04055613393803702,5.017096e-05,0.9136,0.0,1.0
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",always_gemini_flash,0.8752000000000001,0.044398198161637155,0.00018892112,0.8752000000000001,0.038400000000000004,0.19519999999999998
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",decision_tree_router,0.8368,0.03861605883567094,9.648784e-05,0.8368,0.07680000000000001,0.6416
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",random,0.808,0.03440930106817049,9.793376e-05,0.808,0.1056,0.5088
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",extra_trees_router,0.8032,0.01841738309315412,7.2685904e-05,0.8032,0.11040000000000001,0.7072
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",logistic_router,0.8016,0.015388307249337065,6.941636800000001e-05,0.8016,0.11200000000000002,0.6864
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",random_forest_router,0.7888,0.026892378102354553,5.7445632e-05,0.7888,0.1248,0.7392000000000001
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",tfidf_logistic_router,0.7872,0.020079840636817788,5.5088512000000006e-05,0.7872,0.1264,0.736
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",linear_svm_router,0.7807999999999999,0.021614809737770087,5.7303808e-05,0.7807999999999999,0.1328,0.7104
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",tfidf_linear_svm_router,0.7535999999999999,0.01824280680158623,3.3524048000000004e-05,0.7535999999999999,0.16,0.7727999999999999
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",knn_router,0.7295999999999999,0.019099738218101334,1.5826368e-05,0.7295999999999999,0.184,0.8
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",always_mistral_nemo,0.7183999999999999,0.01734358671094306,8.646304e-06,0.7183999999999999,0.19519999999999998,0.8048
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",oracle,0.9216000000000001,0.017343586710943028,1.95894736e-05,0.9216000000000001,0.0,1.0
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",always_llama_70b,0.8928,0.015594870951694362,5.0567603200000005e-05,0.8928,0.028800000000000003,0.2032
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",decision_tree_router,0.8224,0.027942798714516725,2.53869568e-05,0.8224,0.0992,0.6944
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",tfidf_logistic_router,0.8032,0.021614809737770038,1.76198496e-05,0.8032,0.11839999999999999,0.8096
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",logistic_router,0.8016,0.01909973821810128,1.96989376e-05,0.8016,0.12,0.7536
